Index,pH,Iron,Nitrate,Chloride,Lead,Zinc,Color,Turbidity,Fluoride,Copper,Odor,Sulfate,Conductivity,Chlorine,Manganese,Total Dissolved Solids,Source,Water Temperature,Air Temperature,Month,Day,Time of Day,Target
212838,7.156542174,6.03e-07,6.569348822,148.2237497,7.599999999999999e-42,2.62986635,Near Colorless,0.000205993,1.487143643,1.049896818,0.708449743,144.5599911,373.1486347,2.691012867,3.31e-05,180.7631175,Lake,11.7350093,76.28446571,May,21.0,6.0,0
519649,7.285669293,0.263689907,4.93801021,196.2670314,1.05e-132,0.013916154,Colorless,0.075446716,0.61022539,0.267245437,0.14779653,104.362934,334.9437119,3.377464882,0.000119481,355.0231176,Well,16.0030981,70.06444901,July,2.0,22.0,0
661123,7.589697783,4.44e-15,4.301377467,241.6749251,2.87e-10,0.729795695,Colorless,0.030579505,0.42234358,0.402854843,0.827884065,152.6638593,224.6091267,1.989028536,0.000328602,457.5598561,Reservoir,14.76989321,75.1057497,March,27.0,3.0,0
618512,5.367563389,3.23138163,2.362767505,,9.87e-78,0.934599001,Light Yellow,0.003596602,2.410392847,1.165183617,,186.2123895,484.9247944,3.479458946,0.625427643,48.10139853,Ground,8.645331664,78.97381395,June,13.0,16.0,0
978842,6.680736246,7.92e-06,8.211323441,210.3187813,1.28e-103,1.968301436,Faint Yellow,0.000749212,0.413127238,,0.521773796,138.2754414,284.5317825,2.184627262,0.010871976,254.508799,Aquifer,15.11650137,37.95950827,June,28.0,7.0,0
499875,8.476725555,0.00688553,3.643189112,166.703728,2.76e-29,0.846878924,Colorless,0.057742539,0.539189157,0.276657808,2.022798451,203.4417077,337.9131175,1.966517625,0.012918155,39.43704031,River,15.16496613,98.88235713,May,1.0,1.0,0
898586,8.113125234,0.064634432,5.48231051,102.1949312,9.7e-68,0.929094251,Colorless,0.793974688,0.143579072,0.211182261,2.012051417,156.4165389,,3.238423186,3.86e-08,407.869691,Lake,15.94941387,48.47452027,July,23.0,23.0,0
819886,7.603398962,0.000689434,8.346180258,141.6844149,7.28e-19,2.535492248,Near Colorless,0.216563457,1.932083053,0.605048086,1.999367439,181.2596673,479.0259794,2.41361656,0.000334854,499.4594425,Stream,15.99029383,91.13156887,January,22.0,9.0,0
784693,7.454988059,0.115195265,5.950008582,187.110729,7.169999999999999e-104,0.263667945,Near Colorless,0.298615732,1.476507804,0.777986313,0.65322784,93.38515471,357.1927359,3.255251737,5.27e-06,49.08716013,Lake,16.88678211,24.22912322,October,31.0,3.0,0
519567,6.550261373,0.000581925,7.995704057,218.9008754,1.4799999999999999e-53,0.445696178,Colorless,0.213209084,0.070592972,0.276028312,0.687996009,125.1496892,227.2166,2.406385051,0.012860669,353.6363924,Well,13.94222573,87.04763775,October,27.0,16.0,0
100358,,2.8e-10,3.869052727,125.2250031,2e-48,0.630123711,Near Colorless,0.309449292,,0.02072491,0.353874889,67.8398754,365.9751556,3.448841127,0.00741939,293.9963586,Reservoir,10.0223161,44.91061179,September,8.0,8.0,0
14707,7.125021759,0.008906266,4.300170658,144.9017599,1.3599999999999999e-30,0.394578907,Faint Yellow,0.015088813,0.633647623,0.222389342,2.245013507,102.4078427,443.3390982,3.753566744,2.21e-12,410.0077226,Lake,15.08904349,45.83995787,May,9.0,22.0,0
827663,6.992833494,3.13e-05,1.64576695,249.0340721,4.22e-255,0.412317881,Faint Yellow,0.002554191,1.51224757,0.665097841,2.790879094,157.4966973,310.6503287,3.25559593,6.32e-11,95.09573631,Stream,15.3258353,59.10005579,December,24.0,11.0,0
648958,7.400343776,9.56e-08,4.423359571,80.57939914,1.1199999999999999e-38,0.324810179,Near Colorless,0.559253768,0.352307714,0.624309939,2.389209849,95.86449503,371.1933284,3.912823932,0.011478257,350.070071,Stream,12.19505068,90.82250489,December,30.0,5.0,0
214195,6.728303148,0.104899359,6.459983934,202.4440707,3.06e-259,2.830272334,Faint Yellow,0.075007975,0.297687571,0.946624535,0.481281312,186.6929298,763.3155999,3.808383093,2.66e-12,287.1059377,Stream,16.17979073,39.9097647,May,25.0,4.0,0
116635,6.679516176,1.07e-05,9.558625919,229.3987865,1.65e-55,0.377300199,Near Colorless,0.715772041,0.687547823,0.579901216,0.42295765,142.1597647,596.632257,4.120858412,1.28e-05,451.2534347,Reservoir,,78.91250121,October,30.0,3.0,0
21182,7.58107349,0.019959636,8.967922917,157.7924169,2.35e-13,4.427218754,Colorless,0.918686166,1.491753993,,1.420056449,236.268124,482.8323977,3.4671123,0.017256403,100.8999443,Well,10.79141593,41.16711831,November,10.0,0.0,0
964152,6.628206509,0.15959638,2.790608358,234.0862739,2.59e-15,2.931763253,Near Colorless,3.01e-05,1.394763117,0.052527288,1.235979097,49.87857312,471.9218099,2.950951419,0.001708649,150.9272009,Reservoir,30.91519303,71.28041725,February,4.0,9.0,0
160312,7.845731376,7.46e-08,3.10916668,178.1804006,2.67e-47,0.125285952,Colorless,0.689363962,1.989491548,0.721649264,2.742118535,131.2484875,188.8963694,3.445697384,0.001989495,434.373396,Reservoir,7.926780505,52.40020624,August,29.0,14.0,0
938444,6.562557492,1.46e-09,1.56905205,239.6712792,0.0,1.869184849,Light Yellow,0.753695361,0.459021355,0.211444516,0.781072586,50.77407549,908.86956,4.132017132,0.002039938,301.8490945,River,13.54854055,59.13897835,,8.0,22.0,0
841047,6.959793838,0.209200858,3.881499077,192.6391235,1.5699999999999998e-52,4.650702037,Light Yellow,0.133949633,0.264000698,0.090919051,1.909122329,44.91867149,583.1311549,3.165302659,0.000102721,307.28911,Aquifer,10.57989195,60.41516594,September,7.0,1.0,0
869781,8.06945936,4.29e-07,5.306968268,173.6867644,0.0,2.934871598,Colorless,0.003487266,,0.521369432,1.162108278,186.4957432,558.0843473,3.87679352,4.19e-06,415.379239,Reservoir,28.86257546,85.86311587,August,21.0,18.0,0
133517,7.546482855,1.15e-06,3.626418255,151.7562045,0.0,2.63893498,Colorless,0.008739359,0.972892395,0.840155435,1.22486541,131.4023051,327.2044054,2.291386585,0.000507737,108.0479923,Aquifer,17.00736525,72.49908952,May,16.0,4.0,0
90453,6.602329886,1.79e-10,3.071890481,181.0509825,4.03e-111,1.031702084,Light Yellow,0.001402923,0.540224158,0.114050217,0.149347447,66.19374242,514.8647369,3.030184783,6.77e-05,68.30286468,Lake,5.055615148,65.31652535,September,13.0,1.0,0
893517,,0.00027205,5.066546798,144.5426456,,1.165136672,Near Colorless,0.335082915,0.830653131,0.221857379,0.318281042,200.7915068,643.3912925,2.044459114,0.027424185,251.804319,Well,33.69266509,65.78343269,,9.0,19.0,0
1021355,7.177694689,0.006564665,3.83200925,202.6144028,1.7199999999999998e-45,4.966490091,Near Colorless,0.175128843,0.698690265,0.534153077,1.034970624,214.8491288,424.0718002,2.785484229,0.029689505,394.0052062,Stream,23.12445397,82.36782715,October,20.0,21.0,0
155636,7.819466114,0.179374072,5.433058408,,8.93e-65,1.747347672,Colorless,0.421645754,0.689884638,0.900284123,1.312018365,100.5775965,344.5566348,2.701065097,0.028190877,133.7730492,Aquifer,14.61501969,64.72612754,January,24.0,7.0,0
103619,7.586238968,7.49e-07,6.563100509,121.3398162,2.69e-61,3.48966005,Near Colorless,0.264300559,0.445084874,0.555194956,1.041759785,186.6472077,285.997702,2.118980716,0.016786607,118.9043348,Well,15.28922332,27.67692756,May,16.0,16.0,0
661375,6.242780157,0.00020737,24.96396286,206.2153646,6.67e-109,1.478101602,Colorless,0.19344054,1.384203695,0.004278483,0.290408618,265.9933524,392.4087316,,0.123613915,408.6007172,Well,13.06732559,50.92472486,January,11.0,3.0,0
615651,7.669402888,1.65e-05,4.126068346,151.2476834,3.2099999999999998e-170,0.073457401,Near Colorless,0.687568681,0.939396572,0.000230988,2.944913515,224.6050766,724.5463263,3.588217721,3.85e-05,417.6639808,Aquifer,11.66659238,53.03956951,January,30.0,15.0,0
471275,6.934968104,0.002530975,2.229305184,139.6995946,1.18e-15,0.339574103,Near Colorless,0.284532068,0.97982927,0.800765068,2.026423517,139.987465,212.7668692,3.912593626,1.46e-15,489.7840744,Lake,16.44395715,71.40374837,August,17.0,10.0,0
146354,8.119654992,0.308455892,4.76478979,205.5196064,0.000235506,0.539352726,Faint Yellow,0.259003925,0.927508917,0.002301,1.692938116,75.06861216,372.6782398,2.45797273,3.58e-06,483.7558735,Ground,13.73796039,27.31921153,December,4.0,18.0,0
967454,7.576101781,0.000999336,3.034546982,142.6381189,5.56e-27,1.11256875,Near Colorless,0.069130012,0.141404317,0.491775499,0.506005309,77.4755659,392.2302482,3.558293048,3.21e-07,349.860915,Aquifer,7.765705586,67.73934342,March,16.0,22.0,0
100656,7.450443201,0.08969889,4.646472984,89.41368494,4.0399999999999995e-207,0.174474368,Colorless,2.399953784,1.302969803,0.736660114,3.593541218,268.5260818,270.3361588,3.942853815,0.009882474,463.0979418,Lake,18.4910987,71.75469356,May,16.0,11.0,0
457481,7.59966951,0.016126223,8.90333236,92.90494749,2.0053280236e-314,3.502809063,Colorless,0.415054193,0.307302134,0.233246705,1.825809431,156.3227921,661.8572362,3.985613614,2.38e-18,223.3980641,Well,7.072331038,49.01320373,December,14.0,11.0,0
26678,7.623111987,0.265186932,3.816820101,162.0168317,7.579999999999999e-23,1.269997988,Faint Yellow,0.000844063,0.669096627,0.828426572,0.705867147,173.3487815,706.129086,3.139600588,0.002445683,461.0768731,Reservoir,12.16607471,67.6030061,January,22.0,19.0,0
1036214,8.180833259,1.03e-11,4.833870396,175.9936999,6.720000000000001e-122,1.307498908,Colorless,0.051844679,0.237570311,0.568965421,1.960418495,46.63688447,221.041802,3.90235752,0.032379681,242.6427715,Well,15.89242536,48.54412275,May,6.0,14.0,0
33373,7.653154019,0.000442092,7.874242996,171.4472464,1.6e-83,0.113097215,Near Colorless,0.193466443,1.018349905,0.006940042,1.118990416,140.5577618,286.3224377,4.091431539,6.41e-14,421.2762568,Lake,10.06053719,65.35076909,April,19.0,12.0,0
142765,8.204396359,0.005046227,7.345646862,174.6607779,2.36e-44,0.340561743,Near Colorless,0.014708982,1.096897135,0.179402416,0.475040983,151.8027749,467.1895254,3.973944517,0.003959235,261.1319492,Lake,9.675001404,92.54764281,April,14.0,0.0,0
662720,7.629862319,1.02e-05,4.66717106,106.6327149,1.22e-279,1.931351249,Faint Yellow,0.831325409,1.394258339,0.098557762,2.146169203,73.13264657,228.2505328,3.004609251,0.018407966,14.44262875,Reservoir,12.07834386,51.57135169,June,1.0,4.0,0
97142,8.046660012,0.082733147,8.198217914,140.1008833,2.7699999999999997e-30,0.799728022,Colorless,0.282208533,0.947517478,0.558222782,2.728022767,188.7120187,482.2616286,2.809319259,0.013761125,407.5169455,Reservoir,10.67992764,111.7318707,August,28.0,6.0,0
989213,6.628176916,0.032260868,7.726998042,90.03335247,4.6000000000000005e-163,0.565672247,Near Colorless,0.213931974,0.114224737,0.51365795,0.113538668,171.7321227,280.8996429,4.165177772,0.000481485,435.0505216,Spring,,58.90753011,November,30.0,7.0,0
997527,6.732252019,3.08e-11,1.875547349,295.7894493,7.69e-06,4.108872449,Near Colorless,3.004792246,1.147185382,0.218115505,2.302527405,226.5904714,182.9517812,2.182992572,1.85e-05,485.4581852,Stream,18.80757074,64.90063348,October,21.0,21.0,0
875978,7.036928647,0.006069813,12.80098065,192.6124403,1.42e-39,2.493772674,Near Colorless,0.300911595,0.223081293,0.330582965,0.839396919,270.4360751,242.664521,3.317983282,1.91e-07,428.8439332,Reservoir,24.19717119,22.94672282,March,14.0,7.0,0
410575,8.414353892,0.000613336,8.180252333,126.9308236,1.2099999999999999e-42,0.987652654,Near Colorless,0.1230823,0.062868497,0.688202657,2.203141508,176.6537142,185.1917577,4.064886002,0.011661215,145.1797802,Well,11.58217844,51.42120344,June,21.0,13.0,0
931150,7.75390458,0.001197484,7.370612643,198.8718425,4.34e-90,0.457720812,Colorless,0.60975566,0.615239717,0.634611932,2.954402834,76.46804721,389.146139,3.272850382,0.011929191,435.157928,Stream,19.17008586,58.8796642,May,3.0,0.0,0
620173,7.851209742,6.17e-05,9.672628256,186.2480258,3.21e-31,1.742382786,Faint Yellow,0.297825016,0.556853182,0.896104995,2.704923612,127.6125109,580.4520826,3.614139303,4.66e-06,157.1014625,Ground,10.22105277,55.74103582,July,7.0,16.0,0
422644,6.659970604,0.032153256,5.954395836,148.270195,2.9200000000000003e-248,,Near Colorless,0.032740709,0.659878408,0.085056703,0.514079531,179.7852359,219.6675206,3.70627552,1.35e-05,243.2505449,Reservoir,27.46577124,60.68547491,June,,4.0,0
386942,7.131474904,0.001346135,18.44192428,169.2563949,2.96e-164,1.316110571,Yellow,0.002883067,0.197218458,0.157336788,0.518026932,90.18495122,835.9234131,5.087738168,4.23e-06,446.9616747,Spring,8.546577674,71.9745803,June,14.0,16.0,0
457708,6.512748212,0.12211093,5.426483972,177.2294327,1.42e-22,0.522481106,Near Colorless,0.050900143,0.515174062,0.073204472,3.109586475,100.4625371,495.7670006,3.717034045,2.07e-20,25.62559087,Aquifer,14.07886573,53.82757746,February,3.0,7.0,0
544506,7.506894358,4.01e-05,8.766085204,235.8687953,2.11e-116,1.956011659,Near Colorless,0.006535299,1.232917704,0.47849041,1.788268747,65.63641454,237.408736,3.547679295,0.000402081,140.3197184,Lake,21.98289018,56.73091518,November,30.0,17.0,0
894959,7.691108505,0.00353865,3.217732422,183.4217795,3.7e-09,0.373307851,Near Colorless,0.509858117,1.627773003,0.107431142,3.121382049,246.2281536,488.7692238,3.049865777,7.36e-10,132.7290579,Lake,8.102044278,95.15835805,March,11.0,1.0,0
62224,7.592845727,0.055540964,3.724273111,186.8003357,1.7099999999999998e-34,2.781516988,Colorless,0.127999151,0.830685608,0.018298052,0.072615321,112.2848585,455.3321733,2.578456921,5.96e-17,28.97593704,River,36.40230218,52.08014741,October,22.0,20.0,0
660201,7.313008442,6.59e-06,9.295637827,134.4882652,0.0,0.883903843,Light Yellow,0.382464249,0.975526471,0.06665249,0.291564904,105.5715045,305.2215428,2.138594586,0.003809266,256.4588531,Well,22.39053096,47.87579794,December,6.0,6.0,0
55703,7.45481346,0.000178159,4.645821314,205.4259819,4.35e-14,3.275017285,Colorless,0.5565939,1.474991583,0.551567346,3.106769713,72.84739234,189.1878903,3.729126972,0.029548415,212.8147617,Spring,36.17895794,48.08298042,August,18.0,20.0,0
782444,7.344853059,0.377080712,1.755619249,106.4961493,1.93e-20,3.247076493,Colorless,0.357291064,0.374716727,0.520310552,1.826939206,149.5024244,316.7012271,3.17165191,0.083122259,50.36633401,Ground,7.582228206,81.66857619,February,9.0,8.0,0
1035513,7.380770734,0.008980692,8.361757749,,0.0,0.022850373,Colorless,0.255103091,0.142237768,0.002893956,2.777006821,,303.8604528,3.10936186,,2.788262564,Aquifer,19.57602871,74.85223269,June,25.0,4.0,0
634984,6.573689511,0.074522053,2.555596429,145.9476086,5.750000000000001e-32,1.013861535,Near Colorless,0.382495935,0.191459326,0.3432235,2.945862186,140.2470608,608.8367509,3.076540904,0.000830878,482.6888995,River,4.788019011,23.8988381,June,13.0,12.0,0
893852,7.799669987,6.2e-05,5.033954394,200.0550649,6.78e-145,0.95559586,Near Colorless,0.005812292,0.213060519,0.976806383,1.149058514,60.38879099,276.9449655,3.484423054,2.44e-12,461.1526499,Reservoir,36.94787397,60.11073062,March,28.0,3.0,0
561192,7.348772441,0.077655134,3.206234626,130.9014496,0.001619713,0.655331698,Faint Yellow,0.984375457,1.328899502,0.124361684,1.210558021,231.236678,403.7356705,2.984162542,3.60614293,111.2295968,Well,27.22016197,63.74689759,October,28.0,12.0,0
1042002,6.562688808,0.000624265,8.54806071,202.9731991,4.959999999999999e-115,2.27054026,Light Yellow,0.040749245,,0.128307077,0.153103803,79.51325436,,3.268496044,0.036689631,493.9530711,Well,14.93640838,49.37803445,December,14.0,20.0,0
924337,6.731495044,0.000690237,5.368815979,149.0406581,2.26e-07,2.304387344,Colorless,0.109112739,0.492215406,1.048167781,1.423983768,251.0629655,336.2539888,2.365316329,3.32e-09,194.8547515,Well,15.77457315,32.13178819,October,29.0,8.0,0
523009,8.080223605,3e-08,2.491887257,200.5664215,2.6600000000000004e-88,0.017559543,Near Colorless,0.066629383,0.713449286,0.363424038,0.246431719,192.2150005,270.9599006,2.457482084,0.01564367,318.4583653,Aquifer,10.67527332,60.1333935,December,8.0,5.0,0
805502,8.308344647,3.28e-08,7.571956727,228.1915319,3.45e-11,0.797126139,Faint Yellow,0.066502824,0.401369837,0.477685375,1.777694048,100.3414833,312.6756271,2.318574168,0.020958459,181.0362473,Ground,4.38344852,,August,17.0,20.0,0
618591,,0.000673929,8.013077528,83.89636574,4.98e-59,0.150467518,Near Colorless,0.701842696,1.045445466,0.388257473,1.889608771,138.8418718,343.7168269,3.338113915,9.66e-08,264.0467034,Stream,16.23307033,35.00161722,June,4.0,19.0,0
926479,7.831423037,5.53e-05,6.798996764,216.2848813,3.97e-47,0.309563172,Near Colorless,0.001691987,0.043142615,0.470952942,1.437103338,105.3191458,718.661956,2.562368021,3.06e-07,388.8657106,Lake,15.77937752,38.08270473,November,2.0,10.0,0
441366,6.802833501,0.000164587,3.611458737,161.5219303,6.56e-09,2.152648559,Colorless,0.250953783,1.825537029,0.052413187,0.334581885,241.5831888,571.2164259,2.851651068,4.02e-07,438.1000205,Spring,50.23007925,57.18414967,February,26.0,3.0,0
608725,6.10801344,0.001515984,7.706449767,274.5452179,2.96e-29,2.867143081,Faint Yellow,0.332092737,0.382498985,1.670265283,1.189900286,322.655456,,3.276775154,0.022954495,359.7918686,Spring,29.8743974,34.77178735,July,30.0,18.0,0
779785,7.145474752,0.00020383,,144.7633173,1.9099999999999998e-230,2.575919219,Near Colorless,0.804262798,0.271094614,0.228568119,0.905515011,230.9136409,493.9335221,3.091642908,0.004326087,62.94428321,Stream,31.58873971,54.80094773,April,17.0,15.0,0
816911,6.94871362,0.000146192,5.741409855,199.1966357,6.3e-67,0.219901005,Near Colorless,0.01637881,0.129955556,0.658649481,1.720092995,100.8973987,469.6698469,2.725306211,0.017422578,318.276211,Ground,16.22600717,47.39623473,July,4.0,9.0,0
557668,7.942987585,0.234784113,8.603862447,174.2473776,5.7099999999999994e-30,1.091379489,Faint Yellow,0.317563285,1.257738731,0.004257426,0.431335605,126.7576106,204.831495,3.225064792,0.032939395,210.8942073,Ground,31.26382682,55.21925308,November,29.0,10.0,0
154533,7.809017339,0.000165773,5.247281615,72.50881509,2.66e-294,0.380387129,Near Colorless,0.76082328,1.068379272,0.938104936,0.859781905,241.2991598,307.0365384,2.679423588,0.008093625,191.4651288,River,14.8682425,58.34617498,May,9.0,13.0,0
913575,7.892837404,4.25e-11,1.845469017,78.10991814,2.36e-93,0.874561623,Near Colorless,0.05782694,1.666676535,0.394373001,,226.9383638,246.1650567,4.10941374,0.013816405,270.4704144,Well,9.793935861,31.64408937,September,21.0,4.0,0
941386,7.189164724,3.18e-08,5.429367989,197.6478102,9.850000000000001e-79,1.577978232,Colorless,0.119380746,0.160631806,0.587869674,1.644155368,73.99985373,680.4237947,3.276849442,0.023258887,482.6069022,Ground,13.31716713,75.27854925,September,5.0,12.0,0
864437,8.398342137,1.88e-07,5.892053565,139.043271,1.03e-68,0.819180974,Near Colorless,0.505425806,0.270224141,0.654670686,1.369640791,153.9696922,466.7743123,3.689627465,0.026467284,85.50780329,Ground,19.17323607,35.82533543,March,26.0,9.0,0
1005258,8.027163691,0.002013782,5.649389308,186.752905,6.32e-16,1.914601413,Near Colorless,0.478230592,0.121134336,0.644884587,1.940950243,80.59590058,326.2162319,2.4356125,4.81e-05,422.0767819,River,31.65697141,55.78270623,February,27.0,14.0,0
522306,7.722112794,0.088505603,6.866098639,150.3012807,1.53e-35,1.859961648,Light Yellow,0.045861267,1.187017167,0.253483517,0.558924041,100.8095412,1026.385996,2.38609014,0.001103758,266.9170893,Spring,16.93871259,,July,9.0,15.0,0
417691,6.584226232,0.024562187,6.391282001,106.6879816,1.95e-143,3.47320566,Near Colorless,0.104216215,0.210368528,0.652529864,1.512105846,143.4456978,470.8117426,3.140205209,3.97e-05,271.2187602,Lake,12.62517209,70.73973108,January,27.0,1.0,0
34782,8.0343687,8.01e-07,5.623539175,209.7822589,1.8e-08,2.693617975,Near Colorless,0.232914738,,0.491248605,0.316732784,54.92042241,489.3560176,3.871922695,0.002037334,193.059074,River,80.71751928,66.90096046,February,23.0,14.0,0
31115,6.806799363,0.037776969,6.606547279,196.4113046,0.001581657,2.134810786,Colorless,0.050965435,1.331434146,0.037279528,0.749420749,132.5315015,235.0313499,3.07556658,0.010049499,326.3487378,Lake,42.48869907,71.08995526,November,2.0,2.0,0
120549,8.876837335,0.01869741,6.449812251,,4.27e-45,1.480888099,Near Colorless,0.091055818,0.232917152,2.275355883,2.662510397,,677.6694187,4.220954455,0.001458991,518.8192355,Stream,43.8534614,70.28329337,May,8.0,9.0,0
70869,8.084855673,3.45e-08,1.850090535,116.4204744,1.58e-52,,Colorless,0.013150293,0.236503143,0.219964954,0.236591695,104.5868234,423.539398,2.83115667,0.00495638,185.973141,Aquifer,19.12327766,64.55978499,October,4.0,0.0,0
